RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RA_J2000,DE_J2000
56.40274105,23.17157986,6.48742E+16,1.2951,0.8707,,,,,,,,,6981.21616,141.18835,16.07754,4730.624155,85.60134,16.151247,6042.845776,99.27963,15.294792,0.856455,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35801E+17,,,,URAT1-566026969,J034536.66+231017.6,220813,NC3P009370,,03453666+2310176 ,,56.40274105,23.17157986
56.39928042,23.17236082,6.48744E+16,2.297,2.893,,,,,,,,,73.62025,2.0047383,21.019875,25.93496703,11.520625,21.803827,114.9819707,15.954498,19.596321,2.207506,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35801E+17,,,,,J034535.80+231020.5,,,,,,56.39928042,23.17236082
56.39089033,23.17458008,6.48744E+16,3.6149,2.9291,,,,,,,,,77.09554,1.2606589,20.969793,33.77876325,10.7300415,21.516933,67.36562434,14.1676235,20.1768,1.340134,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35811E+17,,,,,,,,,,,56.39089033,23.17458008
56.39188901,23.17549839,6.48744E+16,9.8992,4.9924,,,,,,,,,61.28874,1.2760392,21.218916,48.25309539,15.225205,21.129728,60.01169968,21.040369,20.302305,0.827423,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35811E+17,,,,,,,,,,,56.39188901,23.17549839
56.38449332,23.17916445,6.48745E+16,0.459,0.3122,0.5524,0.5126,3.037,-1.441,0.721,-2.673,0.406,1.045,201.60639,0.9427345,19.926105,89.73008972,10.93661,20.456198,149.6934779,8.584357,19.309889,1.146309,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35811E+17,,,,,,,NC3P009429,,,,56.38450029,23.17917633
56.3854749,23.18211885,6.48745E+16,0.3435,0.2401,0.7573,0.4043,5.294,3.128,0.505,-4.271,0.291,0.966,309.41758,1.0321857,19.461004,76.60523609,6.7953944,20.627895,354.8077572,12.668269,18.372913,2.254982,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35811E+17,,,,URAT1-566026959,J034532.50+231055.9,,NC3P009462,,03453248+2310557 ,,56.38545978,23.18213783
56.39167614,23.18501072,6.48745E+16,0.0786,0.0535,7.3915,0.0873,49.448,19.867,0.113,-45.281,0.069,1.026,2695.12092,3.3280394,17.110922,328.8108811,11.9486885,19.046177,3780.529666,16.448751,15.804014,3.242163,,,,,0,0,0,1,0,0,0,0,0,1,3213.1,4.9146,0.0963,138.374,1.1598,,1.35821E+17,,,,URAT1-566026961,J034533.99+231106.2,,NC3P009491,,03453399+2311068 ,,56.39158008,23.18521197
56.37359839,23.1835779,6.48745E+16,0.8666,0.548,-0.8047,1.0209,12.649,-7.042,1.483,-10.507,0.872,0.993,117.63626,0.9339129,20.511013,29.91980912,5.0610805,21.648645,150.4646868,9.6482725,19.30431,2.344336,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35821E+17,,,,,J034529.67+231101.0,,NC3P009467,,,,56.37363244,23.18362459
56.36313056,23.18528966,6.48752E+16,0.0736,0.0489,3.5757,0.0813,11.122,-3.024,0.105,-10.703,0.063,0.934,2816.43053,2.625531,17.06312,586.6890884,8.225491,18.417522,3392.090906,8.8983755,15.921727,2.495795,,,,,0,0,0,1,0,0,0,0,1,1,3585.2,4.8227,-0.2801,261.863,0.9623,,1.35821E+17,,,,URAT1-566026940,J034527.15+231107.2,,NC3P009488,,03452717+2311072 ,,56.36314518,23.18533722
56.35409464,23.19229203,6.48752E+16,0.0137,0.009,10.85,0.0144,72.938,-54.375,0.019,-48.614,0.011,0.959,1235582.503,269.93402,10.457687,593048.5415,261.1633,10.905817,908811.4108,325.10776,9.851711,1.054106,-12.85,0.21,,9.62189,0,0,0,1,1,0,0,0,1,1,5080.6,4.5212,0.2402,91.7822,0.0203,,,,,,URAT1-566026934,J034525.00+231132.5,220817,NC3P000239,,03452506+2311330 ,,56.35435755,23.19250809
