RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,SimbadName,RA_J2000,DE_J2000
56.39167311,23.18501701,6.49E+16,166.9912935,-24.43110958,7.335,19.879,-45.151,201,17.143373,3.165302,1,Melotte_22,Gaia DR2   64874454510493440,56.39158,23.18521141
56.21357743,23.26873059,6.49E+16,166.7963707,-24.47916794,7.2541,20.623,-44.131,195,8.877219,0.554826,1,Melotte_22,Gaia DR2   64879402312818944,56.21348077,23.2689206
56.84946413,23.14901113,6.49E+16,167.3585247,-24.17339717,7.1444,19.173,-45.845,169,15.914345,2.842519,1,Melotte_22,Gaia DR2   64912009705490304,56.84937435,23.14920852
56.95058341,23.21789014,6.49E+16,167.3822441,-24.05974839,7.3186,19.93,-45.884,166,10.94297,0.958409,1,Melotte_22,Gaia DR2   64913452814489216,56.95049004,23.21808769
57.259816,23.25224525,6.49E+16,167.5848231,-23.84146581,7.1188,19.824,-44.36,262,11.469831,1.063502,1,Melotte_22,Gaia DR2   64923279699744256,57.2597231,23.25243624
57.42060196,23.34137588,6.49E+16,167.6365781,-23.67560775,7.2271,18.693,-45.327,315,8.081855,0.281302,1,Melotte_22,Gaia DR2   64929391436043264,57.4205143,23.34157104
57.3864499,23.38021038,6.49E+16,167.5826272,-23.66856435,7.1325,20.512,-44.302,334,9.027333,0.596111,1,Melotte_22,Gaia DR2   64930495244783616,57.38635369,23.38040112
57.18298748,23.25962123,6.49E+16,167.5227739,-23.88408996,7.1905,18.672,-45.196,211,8.324233,0.391764,1,Melotte_22,Gaia DR2   64933759417769984,57.18289997,23.25981583
57.18418728,23.26047119,6.49E+16,167.5230255,-23.88271719,7.23,16.687,-42.324,139,17.22428,0.655316,0.3,Melotte_22,                            ,57.18410908,23.26065342
57.11688292,23.30056307,6.49E+16,167.4436255,-23.89533345,7.4468,20.6,-45.395,186,12.247098,1.332687,1,Melotte_22,Gaia DR2   64934893291213952,57.11678635,23.30075852
57.1893671,23.33871889,6.49E+16,167.4686657,-23.82210728,7.3793,18.997,-45.738,222,12.895202,1.519649,1,Melotte_22,Gaia DR2   64936508198907904,57.18927802,23.33891582
57.08682897,23.42104595,6.49E+16,167.3320275,-23.82561199,7.7224,19.481,-47.434,226,5.413212,-0.077326,0.5,Melotte_22,                            ,57.08673757,23.42125018
57.14388405,23.43459723,6.49E+16,167.3639884,-23.78012345,7.2793,19.554,-45.042,201,10.211149,0.796441,1,Melotte_22,Gaia DR2   64941211186036352,57.14379229,23.43479116
57.31517748,23.38017638,6.49E+16,167.5303443,-23.71314731,7.3986,20.771,-46.209,305,17.712336,3.386784,1,Melotte_22,Gaia DR2   64942001460286080,57.31508005,23.38037534
57.38579874,23.41124862,6.49E+16,167.5590612,-23.64625306,7.5018,20.805,-45.733,342,16.41162,3.121321,1,Melotte_22,Gaia DR2   64943758103791104,57.38570112,23.41144553
57.2033319,23.41318792,6.49E+16,167.4236192,-23.75877508,7.3022,18.989,-47.12,258,17.376783,3.189184,1,Melotte_22,Gaia DR2   64946025846426752,57.20324281,23.4133908
56.78068857,23.22616304,6.5E+16,167.2502756,-24.15942537,7.2822,19.476,-45.501,169,13.153968,1.612205,1,Melotte_22,Gaia DR2   64959662365552384,56.78059732,23.22635895
56.73798514,23.25047687,6.5E+16,167.2005738,-24.16805758,7.2932,20.19,-46.345,159,14.508215,2.205596,1,Melotte_22,Gaia DR2   64960663095015680,56.73789053,23.25067641
56.88419247,23.30633821,6.5E+16,167.2674915,-24.0360455,7.1409,20.318,-45.617,167,16.44183,2.894322,1,Melotte_22,Gaia DR2   64962174923490304,56.88409722,23.30653462
56.84184586,23.35996418,6.5E+16,167.1964101,-24.02289681,7.4121,21.467,-44.473,185,16.719076,3.087023,1,Melotte_22,Gaia DR2   64963377514329984,56.84174518,23.36015566
56.63705919,23.30513724,6.5E+16,167.0851675,-24.19039108,7.2962,20.667,-45.113,162,14.037812,2.009222,1,Melotte_22,Gaia DR2   64964717544035200,56.63696231,23.30533147
56.73053821,23.3802193,6.5E+16,167.0989735,-24.0770553,7.3087,18.437,-46.083,159,17.490278,3.17407,1,Melotte_22,Gaia DR2   64966916567283456,56.73045173,23.38041771
56.81416491,23.43481859,6.5E+16,167.1205034,-23.98494598,7.1149,20.203,-46.769,189,16.57762,2.982329,0.9,Melotte_22,                            ,56.81407011,23.43501995
56.78973847,23.43216093,6.5E+16,167.1043927,-24.00205493,7.1231,20.435,-43.964,190,17.077898,3.020667,0.8,Melotte_22,                            ,56.78964258,23.43235022
56.53493098,23.34732748,6.5E+16,166.9780553,-24.22249545,7.3212,19.541,-45.274,166,13.239693,1.654356,1,Melotte_22,Gaia DR2   64971933089093760,56.53483935,23.34752241
56.30068367,23.36457294,6.5E+16,166.7907818,-24.35443367,7.2375,20.102,-45.896,164,16.139671,2.843197,0.9,Melotte_22,                            ,56.30058939,23.36477055
56.4286985,23.3365954,6.5E+16,166.9068986,-24.29611817,7.6843,21.385,-45.426,192,17.399858,3.210693,0.9,Melotte_22,                            ,56.42859822,23.33679098
56.64730235,23.41153727,6.5E+16,167.014081,-24.10552756,7.2589,20.443,-44.875,195,14.102081,2.04033,1,Melotte_22,Gaia DR2   64977705525131904,56.64720643,23.41173048
56.75600715,23.49474767,6.5E+16,167.0331407,-23.97681892,7.4605,19.218,-44.966,207,11.268925,1.02239,1,Melotte_22,Gaia DR2   64979732749686016,56.75591692,23.49494128
56.66777397,23.49754171,6.5E+16,166.9657187,-24.02937291,7.2209,16.38,-47.044,184,11.967978,1.436562,0.2,Melotte_22,                            ,56.66769706,23.49774426
56.70879498,23.53208765,6.5E+16,166.9705975,-23.97849651,7.4351,20.966,-44.893,212,16.317553,2.898917,1,Melotte_22,Gaia DR2   64980832261312640,56.70869652,23.53228094
56.51728223,23.40532596,6.5E+16,166.9220868,-24.19055121,7.3527,19.121,-45.412,172,12.406004,1.39699,1,Melotte_22,Gaia DR2   64981137202021376,56.51719252,23.40552148
56.59367689,23.48543411,6.5E+16,166.9196986,-24.08413306,6.9721,20.015,-44.944,165,17.260897,3.295142,1,Melotte_22,Gaia DR2   64981863053470592,56.59358293,23.48562762
56.5750593,23.48646362,6.5E+16,166.9051186,-24.09487842,7.1185,19.689,-43.278,185,10.361045,1.135209,1,Melotte_22,Gaia DR2   64981931772948480,56.57496687,23.48664995
56.4698812,23.46488078,6.5E+16,166.8428835,-24.17579266,7.2383,19.838,-46.244,158,16.300144,2.909168,1,Melotte_22,Gaia DR2   64982344089813248,56.46978808,23.46507989
56.55284929,23.58701887,6.5E+16,166.8144676,-24.03425878,7.1607,21.191,-44.545,165,17.125605,3.016589,0.9,Melotte_22,                            ,56.55274974,23.58721066
56.61581291,23.59252114,6.5E+16,166.8571083,-23.99133247,7.2581,18.525,-44.743,177,12.594947,1.594502,1,Melotte_22,Gaia DR2   64985127228608128,56.61572588,23.59271378
57.06355566,23.43469189,6.5E+16,167.3047569,-23.83007597,7.3282,18.795,-45.964,174,16.442446,2.788211,1,Melotte_22,Gaia DR2   64987876007763968,57.06346746,23.43488979
57.09464593,23.46175245,6.5E+16,167.3075944,-23.79084477,7.4026,20.492,-45.418,210,16.87965,3.09003,1,Melotte_22,Gaia DR2   64988322684358144,57.09454975,23.461948
57.08581068,23.51688291,6.5E+16,167.2602223,-23.75583636,7.0956,19.669,-44.799,192,17.79109,3.302189,1,Melotte_22,Gaia DR2   64988803720689408,57.08571832,23.51707579
57.04583028,23.50681736,6.5E+16,167.2382361,-23.78809328,7.3428,19.745,-44.541,186,13.73232,1.826721,1,Melotte_22,Gaia DR2   64989490915460608,57.04573757,23.50700913
56.86723042,23.44802869,6.5E+16,167.1499713,-23.94228793,7.1183,20.036,-44.634,172,15.750729,2.732785,1,Melotte_22,Gaia DR2   64990349908937984,56.86713639,23.44822086
56.90846391,23.46785524,6.5E+16,167.1657615,-23.90209415,7.2462,21.241,-44.88,167,13.131454,1.59648,1,Melotte_22,Gaia DR2   64990586130069504,56.90836421,23.46804848
56.90022088,23.47394479,6.5E+16,167.1551651,-23.90272829,7.5016,18.936,-46.063,167,17.436497,3.079729,1,Melotte_22,Gaia DR2   64990792288875264,56.90013199,23.47414312
57.25484592,23.6374834,6.5E+16,167.2950649,-23.56211603,7.4903,19.455,-45.788,254,17.853659,3.360496,1,Melotte_22,Gaia DR2   64997187496822912,57.25475448,23.63768055
57.08269847,23.60314413,6.5E+16,167.194043,-23.69436724,7.2936,20.699,-44.684,193,15.064569,2.434564,1,Melotte_22,Gaia DR2   64998905483757568,57.08260121,23.60333652
57.05744752,23.63299648,6.5E+16,167.1533718,-23.68809484,7.359,20.435,-46.168,173,15.955802,2.797223,1,Melotte_22,Gaia DR2   64999558318784768,57.05735148,23.63319525
57.07051868,23.63659068,6.5E+16,167.1603292,-23.67733762,7.0959,18.395,-44.798,202,9.986124,0.745856,1,Melotte_22,Gaia DR2   64999588381514496,57.07043222,23.63678356
57.04675765,23.66195843,6.5E+16,167.1240829,-23.67342427,7.2146,19.539,-45.366,201,15.71589,2.3638,1,Melotte_22,Gaia DR2   65000417312240896,57.04666581,23.66215375
57.03734791,23.70633652,6.5E+16,167.0843498,-23.64660637,7.4494,20.584,-47.711,202,16.82563,3.057843,1,Melotte_22,Gaia DR2   65000863988835200,57.03725111,23.70654195
56.75985184,23.54316676,6.5E+16,167.0002069,-23.93872633,7.5539,20.365,-47.317,178,17.936346,3.231165,0.9,Melotte_22,                            ,56.75975619,23.54337049
56.74244795,23.56062352,6.5E+16,166.9744354,-23.93661841,7.3587,20.447,-45.886,193,16.72112,2.7971,1,Melotte_22,Gaia DR2   65004437401569664,56.74235191,23.56082109
56.7240412,23.58336016,6.5E+16,166.9440269,-23.93122523,7.4106,21.081,-45.299,219,10.383268,0.822651,1,Melotte_22,Gaia DR2   65004712279475712,56.72394216,23.5835552
56.76582879,23.61612114,6.5E+16,166.9507534,-23.88120729,7.1364,20.59,-44.328,221,14.286755,2.469446,0.9,Melotte_22,                            ,56.76573203,23.61631199
56.86159346,23.63388418,6.5E+16,167.0083805,-23.8088512,7.3658,19.676,-43.396,182,16.357365,3.048687,1,Melotte_22,Gaia DR2   65005846150835200,56.86150099,23.63407102
56.86188696,23.67813316,6.5E+16,166.9759216,-23.77604973,7.6049,21.762,-45.662,182,7.732096,0.220508,0.8,Melotte_22,                            ,56.86178465,23.67832976
56.68706021,23.61855894,6.5E+16,166.8906816,-23.92809563,7.1677,17.438,-43.152,167,17.5849,3.148151,0.7,Melotte_22,                            ,56.68697827,23.61874473
56.68002021,23.62260917,6.5E+16,166.8824824,-23.92945323,7.3092,19.182,-44.701,191,17.415617,2.890987,1,Melotte_22,Gaia DR2   65008010814357248,56.67993006,23.62280163
56.71926584,23.64514511,6.5E+16,166.894902,-23.88856748,7.0586,19.252,-45.127,206,16.52099,3.149191,1,Melotte_22,Gaia DR2   65008388771477120,56.71917535,23.6453394
56.77834079,23.71495857,6.5E+16,166.887077,-23.8005356,7.322,19.493,-44.235,211,12.001295,1.232938,1,Melotte_22,Gaia DR2   65010239900405504,56.77824912,23.71514902
56.8445845,23.73507166,6.5E+16,166.921138,-23.74476149,7.4943,20.388,-45.758,200,16.373417,2.913997,1,Melotte_22,Gaia DR2   65010519075247616,56.84448861,23.73526867
56.80647931,23.71409194,6.5E+16,166.9084938,-23.78378958,7.3497,19.962,-45.483,201,12.213566,1.276216,1,Melotte_22,Gaia DR2   65010549138050944,56.80638543,23.71428777
56.78942246,23.74198597,6.5E+16,166.8753313,-23.77374228,7.302,21.441,-45.465,193,14.190984,2.394642,1,Melotte_22,Gaia DR2   65011412428446592,56.78932161,23.74218172
56.77548881,23.75544951,6.5E+16,166.8551192,-23.77240786,7.1466,18.45,-43.365,200,17.329027,2.989859,0.6,Melotte_22,                            ,56.77540202,23.75563622
56.96658172,23.66318229,6.5E+16,167.0641514,-23.72223638,7.6097,20.152,-47.469,175,17.092678,3.067627,0.9,Melotte_22,                            ,56.96648699,23.66338667
56.93613477,23.70071081,6.5E+16,167.0139939,-23.71345498,7.166,20.427,-45.244,165,16.682201,3.062623,1,Melotte_22,Gaia DR2   65012408860856832,56.93603872,23.70090561
56.92168154,23.74009204,6.5E+16,166.9742689,-23.69338208,7.3386,19.406,-44.443,175,13.348431,1.667262,1,Melotte_22,Gaia DR2   65013474012743936,56.92159026,23.7402834
57.03323238,23.73971533,6.5E+16,167.0566565,-23.62459054,7.4821,19.545,-46.629,212,16.024557,2.791128,1,Melotte_22,Gaia DR2   65014195567317504,57.03314045,23.7399161
57.07240084,23.80640339,6.5E+16,167.0361839,-23.55124108,7.0348,19.973,-43.734,202,16.764149,2.962373,1,Melotte_22,Gaia DR2   65014985841292032,57.07230685,23.80659169
56.83746003,23.80314741,6.5E+16,166.8656868,-23.69893981,7.1271,19.208,-45.724,179,6.981759,0.044411,1,Melotte_22,Gaia DR2   65017627244152064,56.83736964,23.80334428
56.80701894,23.83129983,6.5E+16,166.8224955,-23.69695106,7.3048,20.673,-45.999,191,14.777889,2.63959,1,Melotte_22,Gaia DR2   65017906418989312,56.80692164,23.83149788
56.88191944,23.87182457,6.5E+16,166.8478366,-23.62081795,7.5328,19.478,-46.244,193,16.897665,3.038738,1,Melotte_22,Gaia DR2   65018417518780672,56.88182773,23.87202368
57.02449257,23.88344902,6.5E+16,166.9441277,-23.52416147,7.3232,19.989,-43.843,204,17.411623,3.162371,1,Melotte_22,Gaia DR2   65019246448775424,57.02439844,23.88363779
56.96895125,23.94103047,6.5E+16,166.8608711,-23.51604513,7.4154,19.842,-46.46,176,9.75268,0.71356,1,Melotte_22,Gaia DR2   65020414679879296,56.96885778,23.94123051
56.04683049,23.3791258,6.51E+16,166.5901968,-24.49989298,7.4791,21.989,-46.662,171,11.192917,1.049137,0.8,Melotte_22,                            ,56.04672735,23.3793267
56.00257003,23.54375019,6.51E+16,166.4360837,-24.4046651,7.2216,19.458,-44.681,174,10.823414,0.996192,1,Melotte_22,Gaia DR2   65086591535491584,56.00247865,23.54394257
55.90729778,23.53579412,6.51E+16,166.3705168,-24.4689222,7.3233,19.363,-45.381,158,10.576406,0.876738,1,Melotte_22,Gaia DR2   65089336018173440,55.90720685,23.53598951
55.95261076,23.53919963,6.51E+16,166.4019938,-24.43865027,7.2663,21.604,-44.348,177,13.43174,1.724882,1,Melotte_22,Gaia DR2   65089473457126784,55.95250929,23.53939057
55.92874871,23.59457686,6.51E+16,166.3435035,-24.41202571,7.7717,23.635,-46.267,146,9.42555,0.694589,0.2,Melotte_22,                            ,55.92863766,23.59477607
56.2457434,23.38873548,6.52E+16,166.7319472,-24.37038918,7.5389,19.933,-47.013,186,13.387124,1.727595,1,Melotte_22,Gaia DR2   65161976802151680,56.2456499,23.38893789
56.2850799,23.41677523,6.52E+16,166.7406579,-24.32537257,7.6127,20.689,-46.561,182,17.82589,3.178276,0.9,Melotte_22,                            ,56.28498283,23.4169757
