ATOID,RAJ2000,DEJ2000,fp-lngfitper,fp-lngmin-c,fp-lngmax-c,fp-lngmin-o,fp-lngmax-o,fp-period,fp-min-o,fp-max-o,df-meanPvar,ls-c-med,ls-o-med,ls-Pday,Class
J056.8494+23.1490,56.84946,23.14902,8.258976,17.30806,17.238068,15.855173,15.823611,,,,0,17.271,15.833,2.267775,dubious
J056.4027+23.1715,56.40275,23.17158,54.93137,16.067282,15.888432,15.869493,15.574103,0.402017,15.935283,15.61322,366.9,15.969,15.699,0.402018,DBF    
J057.1108+23.1914,57.11089,23.19144,6.307347,17.537498,17.470692,15.738446,15.694622,,,,719,17.498,15.726,1.722567,dubious
J056.7482+23.2004,56.74829,23.20048,7.953708,14.457273,14.397943,14.09293,13.966603,,,,0,14.42,13.992,2.371122,dubious
J056.7504+23.2002,56.75043,23.2002,28.528151,16.855791,16.29039,16.098553,15.475337,,,,0,16.478,15.687,592.836914,dubious
J056.7806+23.2261,56.78069,23.22617,27.937038,13.725664,13.625741,12.960602,12.901208,1.944471,12.982994,12.890642,322.7,13.666,12.935,0.777743,IRR    
J057.1818+23.2308,57.18187,23.23081,341.381622,14.611205,14.49093,14.099324,14.047697,,,,0,14.51,14.065,1.55963,dubious
J057.1708+23.2379,57.17084,23.23799,73.336319,17.718418,17.62788,16.101097,16.050114,,,,0,17.665,16.065,0.534102,dubious
J056.5457+23.2559,56.54574,23.25596,588.65979,16.956547,16.495548,16.586075,15.81223,,,,0,16.789,16.368,0.995802,dubious
J056.7379+23.2504,56.73798,23.25049,5.725042,15.430095,15.375015,14.346486,14.28939,,,,0,15.4,14.313,11.439828,NSINE  
J057.2598+23.2522,57.25981,23.25225,856.055725,11.75451,11.724367,11.36326,11.317997,,,,110,11.747,11.347,0.411662,dubious
J056.6132+23.2579,56.61326,23.2579,557.693665,17.355591,17.051273,16.755478,16.44544,,,,0,17.26,16.671,0.942278,dubious
J056.5230+23.2781,56.52302,23.27818,79.83638,17.427893,17.371437,17.011723,16.93252,,,,0,17.391,16.968,0.722169,dubious
J056.6964+23.2931,56.69645,23.29319,7.06381,17.110897,17.090887,16.576769,16.499155,,,,0,17.098,16.531,0.10377,dubious
J057.2751+23.2986,57.27518,23.29862,586.846985,16.517136,16.347382,15.898261,15.739905,,,,58.1,16.433,15.778,66.895768,dubious
J056.3185+23.3059,56.3185,23.30594,463.893341,17.317905,17.188498,16.738359,16.572794,,,,0,17.271,16.696,0.666124,dubious
J056.6370+23.3051,56.63706,23.30514,1479.271118,14.876724,14.716839,13.883901,13.78876,0.995911,13.887124,13.754189,297.6,14.801,13.829,13.845048,IRR    
J057.1168+23.3005,57.11688,23.30057,456.471375,12.708057,12.553087,12.128826,12.043836,0.801296,12.146729,12.022427,294.1,12.635,12.08,0.500313,IRR    
J056.9547+23.3183,56.95474,23.31838,6.60366,14.703445,14.688508,14.32069,14.295545,,,,0,14.698,14.311,13.227975,dubious
J056.9803+23.3181,56.98038,23.31816,8.848042,17.130882,17.079098,15.786346,15.7463,,,,0,17.113,15.763,1.575136,dubious
J056.8289+23.3392,56.8289,23.33927,54.706039,14.575905,14.542345,13.382439,13.36492,,,,331.5,14.561,13.373,2.031639,dubious
J057.1893+23.3387,57.18936,23.33873,467.872253,13.365307,13.324878,12.682573,12.640988,,,,208.7,13.343,12.667,3.982643,dubious
J056.5349+23.3473,56.53493,23.34733,517.420166,13.776287,13.655458,13.001955,12.925564,,,,285.8,13.708,12.954,7.804505,dubious
J056.3006+23.3645,56.30068,23.36459,12.026311,17.558756,17.46866,16.086477,16.017851,,,,0,17.507,16.049,1.498518,dubious
J056.2457+23.3887,56.24574,23.38874,5.823077,14.010225,13.918436,13.178267,13.111876,,,,231.5,13.96,13.145,1.702939,NSINE  
J057.3873+23.3891,57.38731,23.38915,5.759585,16.872988,16.471251,16.654612,16.108095,,,,120.5,16.717,16.382,1.09182,dubious
J056.5172+23.4053,56.51728,23.40533,672.046509,12.911622,12.725423,12.292709,12.17748,5.537321,12.289778,12.158834,364.8,12.817,12.222,1.159149,IRR    
J056.2418+23.4084,56.24181,23.40849,5.472421,17.861794,17.770815,16.322641,16.240629,,,,0,17.813,16.283,1.513805,dubious
J056.6473+23.4115,56.6473,23.41155,32.007988,14.935919,14.843277,13.918272,13.869367,,,,191.5,14.889,13.895,0.851951,dubious
J056.2914+23.4192,56.2914,23.41924,28.712412,15.641846,15.62806,15.116562,15.096065,,,,0,15.635,15.104,0.195293,dubious
J056.9879+23.4184,56.98799,23.41843,22.862919,16.397516,16.228739,15.894077,15.734992,0.143389,15.915346,15.713159,441.6,16.331,15.816,0.286782,SINE   
J056.3582+23.4300,56.35829,23.43003,24.453964,12.277147,12.189425,11.766334,11.678101,2.656521,11.76495,11.658717,271.7,12.223,11.695,5.334725,dubious
J056.9875+23.4269,56.9875,23.42694,28.389547,15.260934,15.138142,14.858521,14.585814,,,,0,15.239,14.795,0.499743,dubious
J057.1050+23.4247,57.10501,23.42474,298.646332,15.378769,15.15931,14.888831,14.831203,,,,0,15.291,14.901,5.638792,dubious
J056.0137+23.4547,56.01376,23.45471,557.693665,13.993386,13.974937,13.281107,13.266037,,,,252.4,13.98,13.268,0.228024,dubious
J057.3955+23.4544,57.39555,23.45447,35.068485,14.341889,14.193741,13.430551,13.339397,5.134651,13.445522,13.322162,289.4,14.26,13.368,8.951643,IRR    
J056.4698+23.4648,56.46988,23.46489,13.233759,17.859396,17.710186,16.26536,16.176586,,,,125,17.765,16.217,1.367401,dubious
J056.3425+23.4715,56.34253,23.47152,871.890259,12.598307,12.510797,12.034822,11.962231,,,,297.4,12.529,11.987,0.995802,dubious
J056.9084+23.4678,56.90846,23.46786,33.244217,13.670923,13.575903,12.94197,12.862635,7.929281,12.947229,12.853825,226.6,13.63,12.896,16.618426,IRR    
J056.9949+23.4839,56.99491,23.48399,29.269226,16.519253,16.483749,14.724461,14.707887,,,,520.2,16.493,14.728,0.101314,dubious
J057.4035+23.4853,57.40352,23.48531,26.414886,12.986063,12.971569,12.604263,12.601132,,,,234,12.974,12.598,0.337814,dubious
J056.6677+23.4975,56.66777,23.49755,21.357487,12.518477,12.334211,11.895605,11.757781,2.060616,11.918097,11.731362,371.3,12.416,11.837,0.68686,MSINE  
J057.2703+23.4942,57.27039,23.49429,25.442495,17.882778,17.578451,17.477598,17.153395,0.155369,17.506035,17.200611,0,17.69,17.339,0.310739,NSINE  
J056.1512+23.5029,56.15125,23.50292,5.344786,16.611403,16.572002,15.284755,15.236733,,,,0,16.592,15.269,4.989856,dubious
J057.0458+23.5068,57.04583,23.50682,29.940231,14.411901,14.336843,13.543601,13.433607,2.647888,13.535631,13.44718,261.3,14.368,13.492,1.764986,IRR    
J056.3059+23.5167,56.30591,23.51673,14.875876,17.856413,17.741417,16.174091,16.123226,,,,0,17.803,16.147,0.541994,dubious
J056.7087+23.5321,56.70879,23.5321,30.626678,17.806984,17.689417,16.291096,16.195126,,,,0,17.744,16.237,4.269077,dubious
J057.4663+23.5251,57.46632,23.52517,307.111542,16.998495,16.776999,16.566576,16.501345,,,,0,16.962,16.583,0.498667,dubious
J055.9526+23.5392,55.95261,23.53921,9.092171,14.019732,13.998795,13.206753,13.17511,,,,286.5,14.008,13.19,5.538019,dubious
J056.9049+23.5451,56.90499,23.54514,298.646332,16.025953,15.891763,15.508097,15.467935,,,,0,15.921,15.501,0.498631,dubious
J057.2970+23.5550,57.29709,23.55504,44.738544,14.298121,14.220262,13.463591,13.345498,3.374105,13.451022,13.35638,124.8,14.253,13.398,6.747412,IRR    
J055.8878+23.5594,55.88789,23.55942,335.1698,16.972034,16.882662,16.498741,16.400366,,,,0,16.929,16.467,0.399094,dubious
J056.0870+23.5609,56.08703,23.56095,40.170086,17.11825,17.068247,15.713342,15.672292,,,,0,17.093,15.696,1.124028,dubious
J056.1105+23.5610,56.11051,23.56103,28.199839,17.040442,16.680477,15.999467,15.630325,,,,0,16.883,15.858,1.000435,dubious
J055.9891+23.5782,55.98911,23.57826,10.589458,14.160779,14.120655,13.430025,13.399382,,,,257.6,14.134,13.403,0.920946,dubious
J056.6147+23.5760,56.61474,23.576,58.643345,15.341184,15.317101,14.580993,14.559511,,,,9.8,15.333,14.589,0.4994,dubious
