type_best_classification,type2_best_sub_classification,mode_best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ,best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ
"ACEP ","---","FIRST_OVERTONE","4662708305759236096",0.4881673,1665.46150988,18.19,0.849,3,0.331,3.84,68.3365081809,-66.6661856751,68.3365081809,-66.6661856751,"RRAB",4656702360931582080,0.56694397,1665.18222602,19.252,0.917,3,0.530502,4.012854,68.2155894525,-66.7727304339,68.2155894525,-66.7727304339
"DCEP ","---","FUNDAMENTAL   ","4662794033307257216",1.46922884,1666.8281116,17.171,1.19,4,0.498,4.394,69.7747727541,-66.0877581596,69.7747727541,-66.0877581596,"RRAB",4656702360931582080,0.56694397,1665.18222602,19.252,0.917,3,0.530502,4.012854,68.2155894525,-66.7727304339,68.2155894525,-66.7727304339
"ACEP ","---","FIRST_OVERTONE","4662708305759236096",0.4881673,1665.46150988,18.19,0.849,3,0.331,3.84,68.3365081809,-66.6661856751,68.3365081809,-66.6661856751,"RRC ",4656714936595899008,0.30537633,1665.64773133,19.175,0.491,2,0.160807,4.579561,67.7324979919,-66.7100210777,67.7324979919,-66.7100210777
"ACEP ","---","FIRST_OVERTONE","4662708305759236096",0.4881673,1665.46150988,18.19,0.849,3,0.331,3.84,68.3365081809,-66.6661856751,68.3365081809,-66.6661856751,"RRAB",4656716414064729984,0.54101724,1665.22837469,19.289,1.033,4,0.604455,3.996911,67.9338642609,-66.6034075622,67.9338642609,-66.6034075622
"DCEP ","---","FUNDAMENTAL   ","4662794033307257216",1.46922884,1666.8281116,17.171,1.19,4,0.498,4.394,69.7747727541,-66.0877581596,69.7747727541,-66.0877581596,"RRAB",4656716414064729984,0.54101724,1665.22837469,19.289,1.033,4,0.604455,3.996911,67.9338642609,-66.6034075622,67.9338642609,-66.6034075622
"ACEP ","---","FIRST_OVERTONE","4662708305759236096",0.4881673,1665.46150988,18.19,0.849,3,0.331,3.84,68.3365081809,-66.6661856751,68.3365081809,-66.6661856751,"RRC ",4656720846471011200,0.34297412,1665.88409572,19.085,0.469,2,0.107953,4.350372,67.6389484216,-66.5196238743,67.6389484216,-66.5196238743
"DCEP ","---","FUNDAMENTAL   ","4662794033307257216",1.46922884,1666.8281116,17.171,1.19,4,0.498,4.394,69.7747727541,-66.0877581596,69.7747727541,-66.0877581596,"RRC ",4656720846471011200,0.34297412,1665.88409572,19.085,0.469,2,0.107953,4.350372,67.6389484216,-66.5196238743,67.6389484216,-66.5196238743
"DCEP ","---","UNDEFINED     ","4658898497969725952",0.81104349,1664.04407304,17.01,0.419,3,0.193,4.139,80.4417418279,-66.9861900876,80.4417418279,-66.9861900876,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4658898738488020864",3.3844873,1658.89869278,15.048,0.338,4,0.182,3.695,80.4115015243,-66.9476771952,80.4115015243,-66.9476771952,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","UNDEFINED     ","4658925092406745984",2.69331244,1659.84418704,17.372,0.112,1,,,78.8871350309,-67.1440231713,78.8871350309,-67.1440231713,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
